Article_ID,Study_ID,Study_ID_Unique,Comparison_ID,Test_ID,Outcome_ID,Last_Name,Year,Title,Journal,DOI,Country_Of_Study,Citation,Species,Strain,Sex,Sex_Distribution,Age_At_Start_Days,Control_N,Intervention_N,Test_Name,Test_Name_Standardized,Cognitive_Domain,Variable_Name,Variable_Value,Variable_Unit,Direction,Variable_Range_Min,Variable_Range_Max,Control_Group_Mean,Control_Group_Variance_Value,Intervention_Group_Mean,Intervention_Group_Variance_Value,Variance_Source,Intervention_Duration_Days,Intervention_to_Test_Interval_Days,RLS_Differential,RLS_Score_Control,RLS_Score_Intervention,any_sensitivity_flag,Overall_Risk_Of_Bias,Multi_Arm_Study,Number_of_Arms,Shared_Control_Group,Shared_Experimental_Group,Morris_Method_Required,Data_Source,Data_Extraction_Method,Selected_For_Domain_Analysis,Control_Group_ID_Standardized,Intervention_Group_ID_Standardized,Control_Group_RLS_Categories,Intervention_Group_RLS_Categories,Canada_Post_2009,EU_UK_Post_2010,Control_Burrowing_Substrates,Control_Gnawing_Materials,Control_Environmental_Complexity,Control_Foraging_Opportunities,Control_Fresh_Plant_Matter,Control_Nesting_Material,Control_Shelters,Control_Additional_Space,Control_Sweet_High_Fat_Food,Control_Exercise_Wheels,Control_Wheel_Condition,Control_Social_Partners,Quantity_Control_Social_Partners,Intervention_Burrowing_Substrates,Intervention_Gnawing_Materials,Intervention_Environmental_Complexity,Intervention_Foraging_Opportunities,Intervention_Fresh_Plant_Matter,Intervention_Nesting_Material,Intervention_Shelters,Intervention_Additional_Space,Intervention_Sweet_High_Fat_Food,Intervention_Exercise_Wheels,Intervention_Social_Partners,Quantity_Intervention_Social_Partners,SYRCLE_01_Sequence_Generation,SYRCLE_02_Baseline_Characteristics,SYRCLE_03_Allocation_Concealment,SYRCLE_04_Random_Housing,SYRCLE_05_Blinding_Investigators,SYRCLE_06_Random_Outcome_Assessment,SYRCLE_07_Blinding_Outcome_Assessment,SYRCLE_08_Incomplete_Outcome_Data,SYRCLE_09_Selective_Outcome_Reporting,SYRCLE_10_Other_Sources_Bias,Total_Comparisons,Pre_Registration_Status,Open_Data,Variable_Transformation,Quantity_Control_Additional_Space_cm2,Quantity_Intervention_Additional_Space_cm2,Hedges_g_corrected,sampling_variance_corrected,Enriched_N,Enriched_Group_Mean,Enriched_Group_SD,Control_Group_SD,exclude_main_analysis,sensitivity_study,sensitivity_reason,sensitivity_age_violation,sensitivity_intervention_characteristics,sensitivity_statistical_issues,sensitivity_data_extraction,Arm_Number,Study_Arm_ID,Control_Group_ID_Standardized_FIXED,Intervention_Group_ID_Standardized_FIXED,VIF_multiarm,vi_adjusted_multiarm
Clemenson2015,1,Clemenson2015_1,Clemenson2015_1_4_2,4,2,Clemenson,2015,Enrichment Rescues Contextual Discrimination Deficit Associated With Immediate Shock,Hippocampus,10.1002/hipo.22380,United States,"Clemenson, G. D., Lee, S. W., Deng, W., Barrera, V. R., Iwamoto, K. S., Fanselow, M. S., & Gage, F. H. (2015). Enrichment rescues contextual discrimination deficit associated with immediate shock. Hippocampus, 25(3), 385-392. https://doi.org/10.1002/hipo.22380",Mouse,C57BL/6,Female,0,56.0,16,16,Experience-dependent discrimination procedure (15 seconds),Contextual Fear Conditioning,Fear/Associative Learning,Discrimination of a conditioned fear context,"Discimination ratio of the difference between percent freezing to the conditioned context and the non-conditioned context, relative to total percnt freezing",ratio,higher better,-1,1,-0.05,0.37,0.28,0.45,Reported,14,0,4,0,4,1,Some Concerns,True,3,True,False,False,Figure 2E,Reported in text/figure,,CON,EE,,Environmental Complexity; Shelters; Additional Space; Social Partners,False,False,False,False,False,False,False,False,False,False,False,False,NR,False,3,False,False,True,False,False,False,True,True,False,False,True,5,Unclear Risk,Low Risk,Some Concerns,Some Concerns,Unclear Risk,Unclear Risk,Low Risk,Low Risk,Low Risk,Low Risk,2,False,False,none,500.0,8100.0,0.780879544715568,0.134527700989925,,,,,False,,,0,0,1,0,1,Clemenson2015_1_A,Clemenson2015_CON,Clemenson2015_EE,1.8,0.242149861781865
Clemenson2015,1,Clemenson2015_1,Clemenson2015_1_4_1,4,1,Clemenson,2015,Enrichment Rescues Contextual Discrimination Deficit Associated With Immediate Shock,Hippocampus,10.1002/hipo.22380,United States,"Clemenson, G. D., Lee, S. W., Deng, W., Barrera, V. R., Iwamoto, K. S., Fanselow, M. S., & Gage, F. H. (2015). Enrichment rescues contextual discrimination deficit associated with immediate shock. Hippocampus, 25(3), 385-392. https://doi.org/10.1002/hipo.22380",Mouse,C57BL/6,Female,0,56.0,16,12,Experience-dependent discrimination procedure (15 seconds),Contextual Fear Conditioning,Fear/Associative Learning,Discrimination of a conditioned fear context,,ratio,higher better,-1,1,-0.05,0.37,0.07,0.41,Reported,21,0,2,0,2,1,Some Concerns,True,3,True,False,False,Figure 2E,Reported in text/figure,,CON,RUN,,Additional Space; Exercise Wheels,False,False,False,False,False,False,False,False,False,False,False,False,NR,False,3,False,False,False,False,False,False,False,True,False,True,False,3,Unclear Risk,Low Risk,Some Concerns,Some Concerns,Unclear Risk,Unclear Risk,Low Risk,Low Risk,Low Risk,Low Risk,2,False,False,none,500.0,,0.300714019176505,0.147448135499928,,,,,False,,,0,0,1,0,2,Clemenson2015_1_B,Clemenson2015_CON,Clemenson2015_RUN,1.8,0.26540664389987
Clemenson2015,1,Clemenson2015_1,Clemenson2015_1_1_1,1,1,Clemenson,2015,Enrichment Rescues Contextual Discrimination Deficit Associated With Immediate Shock,Hippocampus,10.1002/hipo.22380,United States,"Clemenson, G. D., Lee, S. W., Deng, W., Barrera, V. R., Iwamoto, K. S., Fanselow, M. S., & Gage, F. H. (2015). Enrichment rescues contextual discrimination deficit associated with immediate shock. Hippocampus, 25(3), 385-392. https://doi.org/10.1002/hipo.22380",Mouse,C57BL/6,Female,0,56.0,16,16,Pre-Exposure Fear conditioning procedure,Contextual Fear Conditioning,Fear/Associative Learning,Discrimination of a conditioned fear context,"Discimination ratio of the difference between percent freezing to the conditioned context and the non-conditioned context, relative to total percnt freezing",ratio,higher better,-1,1,-0.02,0.3,0.19,0.3,Reported,14,0,4,0,4,1,Some Concerns,False,2,False,False,False,Figure 3A,Reported in text/figure,,CON,EE,,Environmental Complexity; Shelters; Additional Space; Social Partners,False,False,False,False,False,False,False,False,False,False,False,False,NR,False,3,False,False,True,False,False,False,True,True,False,False,True,5,Unclear Risk,Low Risk,Some Concerns,Some Concerns,Unclear Risk,Unclear Risk,Low Risk,Low Risk,Low Risk,Low Risk,2,False,False,none,500.0,8100.0,0.68235294117647,0.13227508650519,,,,,False,,,0,0,1,0,1,Clemenson2015_1_A,Clemenson2015_CON,Clemenson2015_EE,1.8,0.238095155709342
Clemenson2015,1,Clemenson2015_1,Clemenson2015_1_1_3,1,3,Clemenson,2015,Enrichment Rescues Contextual Discrimination Deficit Associated With Immediate Shock,Hippocampus,10.1002/hipo.22380,United States,"Clemenson, G. D., Lee, S. W., Deng, W., Barrera, V. R., Iwamoto, K. S., Fanselow, M. S., & Gage, F. H. (2015). Enrichment rescues contextual discrimination deficit associated with immediate shock. Hippocampus, 25(3), 385-392. https://doi.org/10.1002/hipo.22380",Mouse,C57BL/6,Female,0,56.0,12,12,Pre-Exposure Fear conditioning procedure,Contextual Fear Conditioning,Fear/Associative Learning,Discrimination of a conditioned fear context,"Discimination ratio of the difference between percent freezing to the conditioned context and the non-conditioned context, relative to total percnt freezing",ratio,higher better,-1,1,0.46,0.6,0.65,0.55,Reported,14,0,4,0,4,1,Some Concerns,False,2,False,False,False,Figure 3B,Reported in text/figure,,CON,EE,,Environmental Complexity; Shelters; Additional Space; Social Partners,False,False,False,False,False,False,False,False,False,False,False,False,NR,False,3,False,False,True,False,False,False,True,True,False,False,True,5,Unclear Risk,Low Risk,Some Concerns,Some Concerns,Unclear Risk,Unclear Risk,Low Risk,Low Risk,Low Risk,Low Risk,2,False,False,none,500.0,8100.0,0.318739356068901,0.168783224523067,,,,,False,,,0,0,1,0,1,Clemenson2015_1_A,Clemenson2015_CON,Clemenson2015_EE,1.8,0.303809804141521
Clemenson2015,1,Clemenson2015_1,Clemenson2015_1_4_4,4,4,Clemenson,2015,Enrichment Rescues Contextual Discrimination Deficit Associated With Immediate Shock,Hippocampus,10.1002/hipo.22380,United States,"Clemenson, G. D., Lee, S. W., Deng, W., Barrera, V. R., Iwamoto, K. S., Fanselow, M. S., & Gage, F. H. (2015). Enrichment rescues contextual discrimination deficit associated with immediate shock. Hippocampus, 25(3), 385-392. https://doi.org/10.1002/hipo.22380",Mouse,C57BL/6,Female,0,56.0,12,12,Experience-dependent discrimination procedure (15 seconds),Contextual Fear Conditioning,Fear/Associative Learning,Discrimination of a conditioned fear context,,ratio,higher better,-1,1,0.14,0.21,0.48,0.52,Reported,14,0,4,0,4,1,Some Concerns,False,2,False,False,False,Figure 4E,Reported in text/figure,,CON,EE,,Environmental Complexity; Shelters; Additional Space; Social Partners,False,False,False,False,False,False,False,False,False,False,False,False,NR,False,3,False,False,True,False,False,False,True,True,False,False,True,5,Unclear Risk,Low Risk,Some Concerns,Some Concerns,Unclear Risk,Unclear Risk,Low Risk,Low Risk,Low Risk,Low Risk,2,False,False,none,500.0,8100.0,0.827834693978235,0.180943964178209,,,,,False,,,0,0,1,0,1,Clemenson2015_1_A,Clemenson2015_CON,Clemenson2015_EE,1.8,0.325699135520776
Doulames2014,1,Doulames2014_1,Doulames2014_1_1_1,1,1,Doulames,2014,Environmental enrichment and social interaction improve cognitive function and decrease reactive oxidative species in normal adult mice,International Journal of Neuroscience,10.3109/00207454.2013.848441,United States,"Doulames, V., Lee, S., & Shea, T. B. (2014). Environmental enrichment and social interaction improve cognitive function and decrease reactive oxidative species in normal adult mice. International Journal of Neuroscience, 124(5), 369-376. https://doi.org/10.3109/00207454.2013.848441",Mouse,C57BL/6,Female,0,270.0,8,7,Y-Maze,Spontaneous Alternation,Working Memory,Percent alternation,Percent alternation,Percentage,higher better,0,100,46.56,14.79,53.44,8.68,Reported,30,0,4,0,4,0,Some Concerns,False,2,False,False,False,Figure 1A,figure analysis,,Control-1,Intervention-1,,Environmental Complexity; Nesting Material; Shelters; Additional Space,False,False,False,False,False,False,False,False,False,False,False,False,NR,False,2,False,False,True,False,False,True,True,True,False,False,False,2,Unclear Risk,Low Risk,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Low Risk,Low Risk,Low Risk,3,False,False,none,173.0,388.0,0.524253103212573,0.277018520064743,,,,,False,,,0,0,0,0,1,Doulames2014_1_A,Doulames2014_Control-1,Doulames2014_Intervention-1,1.0,0.277018520064743
Doulames2014,1,Doulames2014_1,Doulames2014_1_2_1,2,1,Doulames,2014,Environmental enrichment and social interaction improve cognitive function and decrease reactive oxidative species in normal adult mice,International Journal of Neuroscience,10.3109/00207454.2013.848441,United States,"Doulames, V., Lee, S., & Shea, T. B. (2014). Environmental enrichment and social interaction improve cognitive function and decrease reactive oxidative species in normal adult mice. International Journal of Neuroscience, 124(5), 369-376. https://doi.org/10.3109/00207454.2013.848441",Mouse,C57BL/6,Female,0,270.0,8,7,Novel Object Recognition,Novel Object Recognition,Learning & Memory (Recognition),Interaction time with novel object (5 min),"percent change in time spent interacting with novel object, relative to baseline time spent interacting with objects",Percentage,higher better,0,,14.68,32.36,42.3,28.55,Reported,30,0,4,0,4,0,Some Concerns,False,2,False,False,False,Figure 2E,figure analysis,,Control-1,Intervention-1,,Environmental Complexity; Nesting Material; Shelters; Additional Space,False,False,False,False,False,False,False,False,False,False,False,False,NR,False,2,False,False,True,False,False,True,True,True,False,False,False,2,Unclear Risk,Low Risk,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Low Risk,Low Risk,Low Risk,3,False,False,none,173.0,388.0,0.847845177441572,0.291818524354174,,,,,False,,,0,0,0,0,1,Doulames2014_1_A,Doulames2014_Control-1,Doulames2014_Intervention-1,1.0,0.291818524354174
Doulames2014,1,Doulames2014_1,Doulames2014_1_3_1,3,1,Doulames,2014,Environmental enrichment and social interaction improve cognitive function and decrease reactive oxidative species in normal adult mice,International Journal of Neuroscience,10.3109/00207454.2013.848441,United States,"Doulames, V., Lee, S., & Shea, T. B. (2014). Environmental enrichment and social interaction improve cognitive function and decrease reactive oxidative species in normal adult mice. International Journal of Neuroscience, 124(5), 369-376. https://doi.org/10.3109/00207454.2013.848441",Mouse,C57BL/6,Female,0,270.0,8,7,Novel Object Recognition,Novel Object Recognition,Learning & Memory (Recognition),Interaction time with novel object (24 h),"percent change in time spent interacting with novel object, relative to baseline time spent interacting with objects",Percentage,higher better,0,,30.0,16.49,44.89,21.7,Reported,30,0,4,0,4,0,Some Concerns,False,2,False,False,False,Figure 2E,figure analysis,,Control-1,Intervention-1,,Environmental Complexity; Nesting Material; Shelters; Additional Space,False,False,False,False,False,False,False,False,False,False,False,False,NR,False,2,False,False,True,False,False,True,True,True,False,False,False,2,Unclear Risk,Low Risk,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Low Risk,Low Risk,Low Risk,3,False,False,none,173.0,388.0,0.734789341940967,0.285854322091477,,,,,False,,,0,0,0,0,1,Doulames2014_1_A,Doulames2014_Control-1,Doulames2014_Intervention-1,1.0,0.285854322091477
Esselun2021,1,Esselun2021_1,Esselun2021_1_1_1,1,1,Esselun,2021,A Walnut Diet in Combination with Enriched Environment Improves Cognitive Function and Affects Lipid Metabolites in Brain and Liver of Aged NMRI Mice,NeuroMolecular Medicine,10.1007/s12017-020-08639-7,Germany,"Esselun, C., Dilberger, B., Silaidos, C. V., Koch, E., Schebb, N. H., & Eckert, G. P. (2021). A Walnut Diet in Combination with Enriched Environment Improves Cognitive Function and Affects Lipid Metabolites in Brain and Liver of Aged NMRI Mice. NeuroMolecular Medicine, 23(1), 140-160. https://doi.org/10.1007/s12017-020-08639-7",Mouse,NMRI,Female,0,360.0,12,12,Y-Maze,Spontaneous Alternation,Working Memory,Percent Alternation,Percent Alternation,Percent,higher better,0,100,63.62,13.79,62.09,7.41,Reported,168,0,3,2,5,1,Some Concerns,False,2,False,False,False,Figure 2c,Extracted from figure,,Control-1,Intervention-1,Nesting Material; Shelters,Gnawing Materials; Environmental Complexity; Nesting Material; Shelters; Additional Space,False,True,False,False,False,False,False,True,True,False,False,False,NR,False,3,False,True,True,False,False,True,True,True,False,False,False,3,Unclear Risk,Low Risk,Unclear Risk,Unclear Risk,Low Risk,Unclear Risk,Low Risk,Low Risk,Unclear Risk,Low Risk,3,False,False,none,500.0,,-0.133450264031135,0.167037686936875,,,,,False,,,0,1,0,0,1,Esselun2021_1_A,Esselun2021_Control-1,Esselun2021_Intervention-1,1.0,0.167037686936875
Esselun2021,1,Esselun2021_1,Esselun2021_1_2_1,2,1,Esselun,2021,A Walnut Diet in Combination with Enriched Environment Improves Cognitive Function and Affects Lipid Metabolites in Brain and Liver of Aged NMRI Mice,NeuroMolecular Medicine,10.1007/s12017-020-08639-7,Germany,"Esselun, C., Dilberger, B., Silaidos, C. V., Koch, E., Schebb, N. H., & Eckert, G. P. (2021). A Walnut Diet in Combination with Enriched Environment Improves Cognitive Function and Affects Lipid Metabolites in Brain and Liver of Aged NMRI Mice. NeuroMolecular Medicine, 23(1), 140-160. https://doi.org/10.1007/s12017-020-08639-7",Mouse,NMRI,Female,0,360.0,12,12,Passive Avoidance,Inhibitory Avoidance,Fear/Associative Learning,Latency to enter dark chamber,Latency to enter dark chamber,Seconds,lower better,0,300,135.89,142.55,211.49,89.51,Reported,168,0,3,2,5,1,Some Concerns,False,2,False,False,False,Figure 2e,Extracted from figure,,Control-1,Intervention-1,Nesting Material; Shelters,Gnawing Materials; Environmental Complexity; Nesting Material; Shelters; Additional Space,False,True,False,False,False,False,False,True,True,False,False,False,NR,False,3,False,True,True,False,False,True,True,True,False,False,False,3,Unclear Risk,Low Risk,Unclear Risk,Unclear Risk,Low Risk,Unclear Risk,Low Risk,Low Risk,Unclear Risk,Low Risk,3,False,False,none,450.0,,-0.613273291927475,0.174502169387324,,,,,False,,,0,1,0,0,1,Esselun2021_1_A,Esselun2021_Control-1,Esselun2021_Intervention-1,1.0,0.174502169387324
GarciaCapdevila2009,1,GarciaCapdevila2009_1,GarciaCapdevila2009_1_1_1,1,1,Garcia-Capdevila,2009,Effects of long-term voluntary exercise on learning and memory processes: dependency of the task and level of exercise,Behavioural Brain Research,10.1016/j.bbr.2009.03.020,Spain,"García-Capdevila, S., Portell-Cortés, I., Torras-Garcia, M., Coll-Andreu, M., & Costa-Miserachs, D. (2009). Effects of long-term voluntary exercise on learning and memory processes: dependency of the task and level of exercise. Behavioural Brain Research, 202(2), 162-170. https://doi.org/10.1016/j.bbr.2009.03.020",Rat,Wistar,Male,100,62.05,20,20,Novel Object Recognition,Novel Object Recognition,Learning & Memory (Recognition),Discrimination index (24-hour timepoint),Discrimination index,Discrimination index,higher better,-100,100,20.21,32.51,11.09,31.98,Reported,35,0,1,0,1,0,Some Concerns,False,2,False,False,False,Figure 1B,Reported in text and figure,,Control-1,Intervention-1,,Exercise Wheels,False,False,False,False,False,False,False,False,False,False,False,False,NR,False,2,False,False,False,False,False,False,False,False,False,True,False,2,Unclear Risk,Low Risk,Unclear Risk,Low Risk,Unclear Risk,Unclear Risk,Low Risk,Low Risk,Low Risk,Low Risk,2,False,False,none,989.0,989.0,-0.277205957346716,0.100960539284856,,,,,False,,,0,0,0,0,1,GarciaCapdevila2009_1_A,GarciaCapdevila2009_Control-1,GarciaCapdevila2009_Intervention-1,1.0,0.100960539284856
GarciaCapdevila2009,1,GarciaCapdevila2009_1,GarciaCapdevila2009_1_1_2,1,2,Garcia-Capdevila,2009,Effects of long-term voluntary exercise on learning and memory processes: dependency of the task and level of exercise,Behavioural Brain Research,10.1016/j.bbr.2009.03.020,Spain,"García-Capdevila, S., Portell-Cortés, I., Torras-Garcia, M., Coll-Andreu, M., & Costa-Miserachs, D. (2009). Effects of long-term voluntary exercise on learning and memory processes: dependency of the task and level of exercise. Behavioural Brain Research, 202(2), 162-170. https://doi.org/10.1016/j.bbr.2009.03.020",Rat,Wistar,Male,100,62.05,20,20,Novel Object Recognition,Novel Object Recognition,Learning & Memory (Recognition),Discrimination index (72-hour timepoint),Discrimination index,Discrimination index,higher better,-100,100,15.9,25.36,21.69,32.51,Reported,37,0,1,0,1,0,Some Concerns,False,2,False,False,False,Figure 1B,Reported in text,,Control-1,Intervention-1,,Exercise Wheels,False,False,False,False,False,False,False,False,False,False,False,False,NR,False,2,False,False,False,False,False,False,False,False,False,True,False,2,Unclear Risk,Low Risk,Unclear Risk,Low Risk,Unclear Risk,Unclear Risk,Low Risk,Low Risk,Low Risk,Low Risk,2,False,False,none,989.0,989.0,0.194648058083918,0.100473598331448,,,,,False,,,0,0,0,0,1,GarciaCapdevila2009_1_A,GarciaCapdevila2009_Control-1,GarciaCapdevila2009_Intervention-1,1.0,0.100473598331448
Giacobbo2019,1,Giacobbo2019_1,Giacobbo2019_1_1_1,1,1,Giacobbo,2019,"Long-term environmental modifications affect BDNF concentrations in rat hippocampus, but not in serum",Behavioural Brain Research,10.1016/j.bbr.2019.111965,Brazil,"Giacobbo, B. L., de Freitas, B. S., Vedovelli, K., Schlemmer, L. M., Pires, V. N., Antoniazzi, V., dos Santos, C. S., Paludo, L., Borges, J. V., de Lima, D. B., Schröder, N., de Vries, E. F. J., & Bromberg, E. (2019). Long-term environmental modifications affect BDNF concentrations in rat hippocampus, but not in serum. Behavioural Brain Research, 372, Article 111965. https://doi.org/10.1016/j.bbr.2019.111965",Rat,Wistar,Male,100,180.0,15,10,Novel Object Recognition,Novel Object Recognition,Learning & Memory (Recognition),Recognition Index,Recognition Index,Recognition Index,higher better,0,1,0.52,0.08,0.65,0.13,Reported,70,0,3,0,3,1,Some Concerns,False,2,False,False,False,Figure 2,figure analysis,,Control-1,Intervention-1,,Environmental Complexity; Additional Space; Social Partners,False,False,False,False,False,False,False,False,False,False,False,False,NR,False,3,False,False,True,False,False,False,False,True,False,False,True,6,Unclear Risk,Low Risk,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Low Risk,Low Risk,Low Risk,Low Risk,3,False,False,none,0.0,10000.0,1.22633811062372,0.19674476989803,,,,,False,,,0,1,0,1,1,Giacobbo2019_1_A,Giacobbo2019_Control-1,Giacobbo2019_Intervention-1,1.0,0.19674476989803
Gobeske2009,1,Gobeske2009_1,Gobeske2009_1_1_1,1,1,Gobeske,2009,BMP Signaling Mediates Effects of Exercise on Hippocampal Neurogenesis and Cognition in Mice,PLoS ONE,10.1371/journal.pone.0007506,United States,"Gobeske, K. T., Das, S., Bonaguidi, M. A., Weiss, C., Radulovic, J., Disterhoft, J. F., & Kessler, J. A. (2009). BMP Signaling Mediates Effects of Exercise on Hippocampal Neurogenesis and Cognition in Mice. PLoS ONE, 4(10), e7506. https://doi.org/10.1371/journal.pone.0007506",Mouse,C57BL/6,Male,100,60.0,10,8,Y-Maze,Spontaneous Alternation,Working Memory,Spontaneous alternation,Percent alternation,Percentage,higher better,0,100,70.02,4.72,76.16,4.72,Reported,7,0,1,0,1,0,Some Concerns,True,4,True,False,False,Figure 1A                                                                                                                                                                                                                                   ,figure analysis,,Control-1,Intervention-1,,Exercise Wheels,False,False,False,False,False,False,False,False,False,False,False,False,NR,False,3,False,False,False,False,False,False,False,False,False,True,False,3,Unclear Risk,Low Risk,Unclear Risk,Low Risk,Unclear Risk,Unclear Risk,Low Risk,Low Risk,Low Risk,Low Risk,3,False,False,none,500.0,,1.43896852789646,0.297269833761078,10.0,80.0,6.32,6.95,False,,,0,0,0,0,1,Gobeske2009_1_A,Gobeske2009_Control-1,Gobeske2009_Intervention-1,1.33333333333333,0.335687680809216
Gobeske2009,1,Gobeske2009_1,Gobeske2009_1_2_1,2,1,Gobeske,2009,BMP Signaling Mediates Effects of Exercise on Hippocampal Neurogenesis and Cognition in Mice,PLoS ONE,10.1371/journal.pone.0007506,United States,"Gobeske, K. T., Das, S., Bonaguidi, M. A., Weiss, C., Radulovic, J., Disterhoft, J. F., & Kessler, J. A. (2009). BMP Signaling Mediates Effects of Exercise on Hippocampal Neurogenesis and Cognition in Mice. PLoS ONE, 4(10), e7506. https://doi.org/10.1371/journal.pone.0007506",Mouse,C57BL/6,Male,100,60.0,10,8,Y-Maze,Spontaneous Alternation,Working Memory,Spontaneous alternation,Percent alternation,Percentage,higher better,0,100,70.02,4.72,83.41,3.79,Reported,10,0,1,0,1,0,Some Concerns,True,4,True,False,False,Figure 1A                                                                                                                                                                                                                                   ,figure analysis,,Control-1,Intervention-2,,Exercise Wheels,False,False,False,False,False,False,False,False,False,False,False,False,NR,False,3,False,False,False,False,False,False,False,False,False,True,False,3,Unclear Risk,Low Risk,Unclear Risk,Low Risk,Unclear Risk,Unclear Risk,Low Risk,Low Risk,Low Risk,Low Risk,3,False,False,none,500.0,,1.43896852789646,0.523361521558819,10.0,80.0,6.32,6.95,False,,,0,0,0,0,2,Gobeske2009_1_B,Gobeske2009_Control-1,Gobeske2009_Intervention-2,1.33333333333333,0.335687680809216
Gobeske2009,1,Gobeske2009_1,Gobeske2009_1_3_1,3,1,Gobeske,2009,BMP Signaling Mediates Effects of Exercise on Hippocampal Neurogenesis and Cognition in Mice,PLoS ONE,10.1371/journal.pone.0007506,United States,"Gobeske, K. T., Das, S., Bonaguidi, M. A., Weiss, C., Radulovic, J., Disterhoft, J. F., & Kessler, J. A. (2009). BMP Signaling Mediates Effects of Exercise on Hippocampal Neurogenesis and Cognition in Mice. PLoS ONE, 4(10), e7506. https://doi.org/10.1371/journal.pone.0007506",Mouse,C57BL/6,Male,100,60.0,10,8,Y-Maze,Spontaneous Alternation,Working Memory,Spontaneous alternation,Percent alternation,Percentage,higher better,0,100,70.02,4.72,86.54,8.2,Reported,14,0,1,0,1,0,Some Concerns,True,4,True,False,False,Figure 1A                                                                                                                                                                                                                                   ,figure analysis,,Control-1,Intervention-3,,Exercise Wheels,False,False,False,False,False,False,False,False,False,False,False,False,NR,False,3,False,False,False,False,False,False,False,False,False,True,False,3,Unclear Risk,Low Risk,Unclear Risk,Low Risk,Unclear Risk,Unclear Risk,Low Risk,Low Risk,Low Risk,Low Risk,3,False,False,none,500.0,,1.43896852789646,0.420321353759453,10.0,80.0,6.32,6.95,False,,,0,0,0,0,3,Gobeske2009_1_C,Gobeske2009_Control-1,Gobeske2009_Intervention-3,1.33333333333333,0.335687680809216
Harburger2007b,1,Harburger2007b_1,Harburger2007b_1_1_1,1,1,Harburger,2007,Single Enrichment Variables Differentially Reduce Age-Related Memory Decline in Female Mice,Behavioral Neuroscience,10.1037/0735-7044.121.4.679,United States,"Harburger, L. L., Nzerem, C. K., & Frick, K. M. (2007). Single enrichment variables differentially reduce age-related memory decline in female mice. Behavioral Neuroscience, 121(4), 679-688. https://doi.org/10.1037/0735-7044.121.4.679",Mouse,C57BL/6,Female,0,90.0,12,12,Morris Water Maze,Morris Water Maze,Learning & Memory (Spatial),Probe trial (averaged across sessions),Quadrant time,Percent,higher better,0,100,37.6,13.86,47.0,12.47,Reported,28,0,4,0,4,0,Some Concerns,True,4,True,False,False,Figure 3D,Estimated from figure,,Control-1,Intervention-1,,Environmental Complexity; Shelters; Additional Space; Social Partners,False,False,False,False,False,False,False,False,False,False,False,False,Absent,False,5,False,False,True,False,False,False,True,True,False,False,True,8,Unclear Risk,Low Risk,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Low Risk,Low Risk,Low Risk,Low Risk,9,False,False,none,500.0,3036.0,0.688434598804878,0.176540462433992,,,,,False,,,0,0,0,0,1,Harburger2007b_1_A,Harburger2007b_Control-1,Harburger2007b_Intervention-1,1.66666666666667,0.294234104056653
Harburger2007b,1,Harburger2007b_1,Harburger2007b_1_2_1,2,1,Harburger,2007,Single Enrichment Variables Differentially Reduce Age-Related Memory Decline in Female Mice,Behavioral Neuroscience,10.1037/0735-7044.121.4.679,United States,"Harburger, L. L., Nzerem, C. K., & Frick, K. M. (2007). Single enrichment variables differentially reduce age-related memory decline in female mice. Behavioral Neuroscience, 121(4), 679-688. https://doi.org/10.1037/0735-7044.121.4.679",Mouse,C57BL/6,Female,0,90.0,12,12,Morris Water Maze,Morris Water Maze,Learning & Memory (Spatial),Probe trial (averaged across sessions),Quadrant time,Percent,higher better,0,100,37.6,13.86,43.2,8.31,Reported,28,0,3,0,3,0,Some Concerns,True,4,True,False,False,Figure 3D,Estimated from figure,,Control-1,Intervention-2,,Additional Space; Exercise Wheels; Social Partners,False,False,False,False,False,False,False,False,False,False,False,False,Absent,False,5,False,False,False,False,False,False,False,True,False,True,True,8,Unclear Risk,Low Risk,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Low Risk,Low Risk,Low Risk,Low Risk,9,False,False,none,500.0,3036.0,0.47316575315151,0.171330954790738,,,,,False,,,0,0,0,0,2,Harburger2007b_1_B,Harburger2007b_Control-1,Harburger2007b_Intervention-2,1.66666666666667,0.285551591317897
